Gamma,Depth
105.3,4963.01
106.3,4963.06
105.8,4963.11
105.3,4963.16
103.0,4963.21
100.9,4963.26
97.8,4963.31
98.0,4963.36
97.2,4963.41
93.8,4963.46
91.0,4963.51
85.1,4963.56
81.4,4963.61
80.2,4963.66
80.7,4963.71
82.0,4963.76
80.9,4963.81
82.1,4963.86
83.7,4963.91
87.5,4963.96
90.3,4964.01
91.6,4964.06
94.1,4964.11
96.8,4964.16
99.3,4964.21
100.6,4964.26
100.2,4964.31
101.2,4964.36
103.9,4964.41
108.9,4964.46
113.4,4964.51
118.2,4964.56
122.7,4964.61
126.7,4964.66
131.7,4964.71
136.9,4964.76
142.0,4964.81
148.9,4964.86
155.9,4964.91
164.5,4964.96
164.5,4964.96
169.8,4965.01
172.5,4965.06
173.9,4965.11
175.7,4965.16
177.1,4965.21
178.3,4965.26
180.3,4965.31
182.6,4965.36
184.0,4965.41
184.3,4965.46
182.7,4965.51
181.2,4965.56
176.6,4965.61
173.0,4965.66
169.5,4965.71
169.7,4965.76
168.3,4965.81
165.8,4965.86
165.0,4965.91
166.2,4965.96
164.0,4966.01
162.0,4966.06
162.4,4966.11
161.7,4966.16
161.0,4966.21
162.2,4966.26
164.5,4966.31
165.8,4966.36
164.1,4966.41
163.7,4966.46
164.7,4966.51
163.8,4966.56
161.7,4966.61
160.8,4966.66
160.5,4966.71
160.2,4966.76
160.3,4966.81
158.6,4966.86
158.1,4966.91
155.4,4966.96
154.7,4967.01
155.1,4967.06
156.1,4967.11
156.9,4967.16
155.8,4967.21
155.2,4967.26
156.2,4967.31
156.0,4967.36
153.5,4967.41
152.9,4967.46
152.7,4967.51
151.0,4967.56
149.3,4967.61
146.7,4967.66
145.7,4967.71
142.4,4967.76
140.3,4967.81
140.5,4967.86
140.8,4967.91
140.6,4967.96
140.7,4968.01
140.4,4968.06
139.0,4968.11
138.7,4968.16
139.1,4968.21
139.6,4968.26
142.1,4968.31
142.9,4968.36
144.6,4968.41
144.5,4968.46
143.0,4968.51
140.3,4968.56
140.1,4968.61
139.5,4968.66
139.3,4968.71
139.8,4968.76
140.4,4968.81
139.4,4968.86
140.9,4968.91
141.0,4968.96
140.6,4969.01
140.5,4969.06
141.5,4969.11
142.8,4969.16
144.5,4969.21
143.5,4969.26
144.9,4969.31
147.1,4969.36
148.3,4969.41
149.4,4969.46
150.8,4969.51
150.6,4969.56
150.2,4969.61
149.1,4969.66
147.9,4969.71
147.4,4969.76
147.5,4969.81
148.4,4969.86
148.5,4969.91
146.9,4969.96
146.2,4970.01
145.2,4970.06
145.8,4970.11
144.8,4970.16
143.7,4970.21
143.0,4970.26
142.1,4970.31
142.3,4970.36
139.2,4970.41
134.3,4970.46
127.9,4970.51
122.1,4970.56
116.0,4970.61
109.7,4970.66
103.0,4970.71
95.2,4970.76
89.7,4970.81
84.5,4970.86
77.6,4970.91
72.1,4970.96
65.7,4971.01
62.0,4971.06
59.7,4971.11
58.5,4971.16
57.4,4971.21
58.3,4971.26
57.7,4971.31
57.4,4971.36
57.3,4971.41
56.9,4971.46
56.8,4971.51
58.1,4971.56
58.9,4971.61
60.6,4971.66
61.1,4971.71
59.7,4971.76
62.0,4971.81
61.9,4971.86
60.0,4971.91
58.5,4971.96
58.5,4972.01
58.1,4972.06
57.2,4972.11
56.1,4972.16
54.8,4972.21
54.0,4972.26
52.0,4972.31
52.4,4972.36
53.7,4972.41
51.5,4972.46
52.7,4972.51
54.2,4972.56
55.7,4972.61
57.7,4972.66
59.2,4972.71
60.8,4972.76
61.7,4972.81
64.11,4972.86
65.3,4972.91
67.2,4972.96
66.4,4973.01
67.3,4973.06
67.4,4973.11
67.2,4973.16
67.4,4973.21
68.8,4973.26
68.6,4973.31
68.2,4973.36
68.6,4973.41
69.0,4973.46
66.7,4973.51
66.6,4973.56
64.1,4973.61
63.9,4973.66
62.3,4973.71
62.1,4973.76
61.1,4973.81
59.8,4973.86
58.8,4973.91
57.1,4973.96
56.3,4974.01
55.7,4974.06
56.0,4974.11
57.0,4974.16
56.6,4974.21
58.7,4974.26
58.2,4974.31
57.5,4974.36
57.9,4974.41
56.9,4974.46
56.5,4974.51
55.6,4974.56
56.6,4974.61
57.1,4974.66
57.5,4974.71
57.3,4974.76
57.3,4974.81
58.0,4974.86
58.0,4974.91
59.8,4974.96
63.2,4975.01
64.5,4975.06
68.8,4975.11
70.4,4975.16
71.1,4975.21
70.6,4975.26
70.1,4975.31
70.2,4975.36
69.7,4975.41
70.2,4975.46
69.8,4975.51
70.0,4975.56
71.1,4975.61
68.9,4975.66
69.3,4975.71
67.1,4975.76
67.1,4975.81
67.7,4975.86
68.8,4975.91
72.1,4975.96
74.9,4976.01
77.6,4976.06
81.8,4976.11
86.7,4976.16
93.4,4976.21
98.8,4976.26
107.2,4976.31
114.3,4976.36
123.0,4976.41
129.1,4976.46
137.4,4976.51
146.1,4976.56
151.9,4976.61
157.6,4976.66
165.1,4976.71
172.0,4976.76
179.2,4976.81
182.2,4976.86
184.8,4976.91
186.9,4976.96
188.5,4977.01
189.2,4977.06
191.6,4977.11
191.5,4977.16
190.7,4977.21
190.1,4977.26
189.8,4977.31
189.3,4977.36
188.9,4977.41
188.9,4977.46
190.5,4977.51
193.1,4977.56
195.5,4977.61
197.1,4977.66
197.7,4977.71
194.1,4977.76
186.0,4977.81
175.8,4977.86
165.4,4977.91
155.5,4977.96
142.8,4978.01
129.1,4978.06
115.5,4978.11
101.5,4978.16
86.4,4978.21
71.4,4978.26
57.3,4978.31
44.1,4978.36
36.1,4978.41
33.3,4978.46
32.3,4978.51
30.5,4978.56
29.4,4978.61
30.1,4978.66
30.1,4978.71
29.5,4978.76
28.4,4978.81
28.2,4978.86
27.9,4978.91
27.1,4978.96
27.2,4979.01
28.1,4979.06
29.2,4979.11
28.9,4979.16
31.2,4979.21
32.2,4979.26
33.7,4979.31
36.4,4979.36
41.7,4979.41
47.4,4979.46
51.8,4979.51
52.4,4979.56
52.0,4979.61
51.3,4979.66
49.1,4979.71
45.8,4979.76
44.9,4979.81
42.7,4979.86
39.9,4979.91
36.3,4979.96
32.0,4980.01
24.4,4980.06
17.4,4980.11
10.2,4980.16
8.5,4980.21
8.0,4980.26
7.2,4980.31
6.4,4980.36
6.6,4980.41
6.0,4980.46
5.5,4980.51
5.1,4980.56
4.9,4980.61
4.1,4980.66
4.2,4980.71
4.9,4980.76
5.8,4980.81
5.1,4980.86
5.4,4980.91
5.5,4980.96
5.4,4981.01
5.9,4981.06
6.6,4981.11
6.3,4981.16
7.6,4981.21
7.6,4981.26
8.0,4981.31
7.9,4981.36
7.9,4981.41
7.8,4981.46
7.9,4981.51
7.7,4981.56
6.6,4981.61
7.7,4981.66
7.7,4981.71
6.8,4981.76
7.3,4981.81
5.8,4981.86
5.7,4981.91
6.2,4981.96
7.7,4982.01
7.8,4982.06
8.8,4982.11
7.9,4982.16
6.7,4982.21
8.5,4982.26
8.8,4982.31
8.2,4982.36
9.4,4982.41
8.9,4982.46
9.1,4982.51
9.6,4982.56
9.0,4982.61
8.8,4982.66
8.5,4982.71
8.8,4982.76
8.9,4982.81
9.5,4982.86
8.1,4982.91
7.4,4982.96
7.0,4983.01
6.34,4983.06
6.5,4983.11
5.6,4983.16
5.2,4983.21
6.3,4983.26
6.2,4983.31
7.4,4983.36
7.6,4983.41
8.0,4983.46
8.7,4983.51
8.8,4983.56
9.0,4983.61
9.2,4983.66
9.6,4983.71
9.3,4983.76
11.0,4983.81
11.7,4983.86
11.7,4983.91
10.3,4983.96
8.4,4984.01
6.3,4984.06
6.3,4984.11
5.5,4984.16
5.1,4984.21
3.8,4984.26
3.8,4984.31
3.4,4984.36
3.0,4984.41
2.0,4984.46
1.0,4984.51
0.7,4984.56
0.0,4984.61
0.9,4984.66
2.4,4984.71
2.4,4984.76
2.8,4984.81
4.5,4984.86
4.9,4984.91
5.6,4984.96
5.3,4985.01
6.5,4985.06
7.2,4985.11
8.0,4985.16
6.9,4985.21
8.3,4985.26
8.0,4985.31
8.0,4985.36
8.2,4985.41
8.7,4985.46
8.6,4985.51
9.2,4985.56
9.8,4985.61
11.9,4985.66
12.5,4985.71
11.8,4985.76
10.6,4985.81
11.1,4985.86
10.9,4985.91
11.7,4985.96
11.6,4986.01
11.6,4986.06
11.3,4986.11
9.7,4986.16
9.8,4986.21
8.2,4986.26
6.6,4986.31
5.6,4986.36
5.4,4986.41
7.4,4986.46
7.7,4986.51
7.7,4986.56
7.4,4986.61
6.7,4986.66
7.6,4986.71
8.5,4986.76
9.8,4986.81
9.2,4986.86
10.1,4986.91
10.3,4986.96
9.2,4987.01
8.5,4987.06
7.1,4987.11
6.2,4987.16
7.2,4987.21
6.8,4987.26
7.3,4987.31
6.2,4987.36
4.7,4987.41
3.3,4987.46
4.7,4987.51
4.4,4987.56
3.3,4987.61
3.6,4987.66
5.1,4987.71
5.4,4987.76
6.1,4987.81
4.7,4987.86
4.4,4987.91
4.2,4987.96
5.3,4988.01
6.6,4988.06
6.7,4988.11
5.9,4988.16
5.7,4988.21
6.8,4988.26
6.7,4988.31
7.2,4988.36
7.0,4988.41
7.8,4988.46
7.9,4988.51
8.2,4988.56
8.7,4988.61
6.7,4988.66
6.2,4988.71
5.8,4988.76
5.4,4988.81
5.1,4988.86
5.2,4988.91
6.2,4988.96
6.0,4989.01
5.5,4989.06
5.4,4989.11
6.1,4989.16
6.2,4989.21
5.7,4989.26
7.1,4989.31
7.0,4989.36
6.5,4989.41
6.2,4989.46
5.8,4989.51
5.3,4989.56
6.4,4989.61
5.6,4989.66
6.3,4989.71
5.5,4989.76
4.7,4989.81
4.3,4989.86
3.9,4989.91
13.0,4993.06
13.3,4993.11
14.3,4993.16
14.4,4993.21
15.2,4993.26
14.2,4993.31
13.0,4993.36
14.8,4993.41
14.8,4993.46
15.4,4993.51
15.4,4993.56
14.6,4993.61
14.4,4993.66
14.3,4993.71
14.0,4993.76
14.6,4993.81
14.8,4993.86
15.8,4993.91
16.6,4993.96
18.0,4994.01
17.2,4994.06
16.0,4994.11
17.3,4994.16
20.8,4994.21
23.8,4994.26
28.0,4994.31
30.4,4994.36
32.5,4994.41
31.0,4994.46
30.5,4994.51
27.7,4994.56
27.8,4994.61
26.7,4994.66
27.5,4994.71
28.2,4994.76
26.8,4994.81
22.8,4994.86
19.1,4994.91
13.3,4994.96
13.3,4994.96
10.4,4995.01
7.7,4995.06
7.6,4995.11
7.8,4995.16
8.9,4995.21
9.0,4995.26
9.3,4995.31
8.2,4995.36
7.5,4995.41
7.5,4995.46
6.6,4995.51
6.2,4995.56
8.2,4995.61
8.7,4995.66
8.7,4995.71
7.7,4995.76
7.2,4995.81
7.1,4995.86
6.8,4995.91
6.6,4995.96
6.5,4996.01
7.0,4996.06
6.9,4996.11
7.5,4996.16
9.2,4996.21
8.7,4996.26
8.9,4996.31
8.5,4996.36
10.0,4996.41
9.1,4996.46
8.8,4996.51
8.6,4996.56
8.2,4996.61
9.6,4996.66
8.9,4996.71
9.0,4996.76
10.8,4996.81
10.7,4996.86
10.2,4996.91
10.3,4996.96
10.3,4997.01
10.0,4997.06
11.5,4997.11
11.5,4997.16
11.1,4997.21
11.8,4997.26
10.6,4997.31
11.4,4997.36
12.6,4997.41
11.9,4997.46
10.5,4997.51
11.0,4997.56
10.6,4997.61
12.6,4997.66
12.6,4997.71
13.3,4997.76
14.0,4997.81
15.3,4997.86
15.3,4997.91
16.8,4997.96
16.2,4998.01
14.2,4998.06
13.2,4998.11
13.7,4998.16
13.3,4998.21
13.2,4998.26
13.3,4998.31
12.8,4998.36
11.7,4998.41
12.6,4998.46
12.6,4998.51
14.3,4998.56
14.6,4998.61
16.1,4998.66
17.1,4998.71
18.2,4998.76
19.9,4998.81
22.0,4998.86
24.0,4998.91
22.7,4998.96
22.6,4999.01
23.6,4999.06
22.6,4999.11
21.6,4999.16
20.8,4999.21
19.6,4999.26
18.8,4999.31
18.5,4999.36
18.5,4999.41
17.5,4999.46
16.2,4999.51
15.2,4999.56
16.9,4999.61
19.5,4999.66
20.5,4999.71
19.2,4999.76
20.3,4999.81
20.5,4999.86
21.4,4999.91
22.2,4999.96
23.5,5000.01
22.8,5000.06
23.4,5000.11
22.4,5000.16
23.7,5000.21
22.8,5000.26
20.9,5000.31
19.0,5000.36
19.7,5000.41
19.2,5000.46
18.1,5000.51
16.5,5000.56
16.1,5000.61
14.5,5000.66
14.7,5000.71
14.3,5000.76
15.4,5000.81
13.7,5000.86
12.8,5000.91
13.7,5000.96
13.6,5001.01
13.2,5001.06
13.3,5001.11
13.6,5001.16
13.7,5001.21
13.0,5001.26
12.8,5001.31
13.4,5001.36
12.4,5001.41
12.3,5001.46
12.3,5001.51
12.3,5001.56
10.2,5001.61
9.8,5001.66
10.5,5001.71
10.5,5001.76
10.2,5001.81
10.3,5001.86
10.8,5001.91
12.0,5001.96
12.9,5002.01
14.8,5002.06
14.1,5002.11
13.8,5002.16
13.7,5002.21
15.0,5002.26
14.6,5002.31
13.8,5002.36
12.8,5002.41
13.3,5002.46
14.0,5002.51
12.2,5002.56
10.9,5002.61
8.3,5002.66
6.2,5002.71
5.2,5002.76
5.9,5002.81
6.2,5002.86
4.8,5002.91
5.7,5002.96
7.2,5003.01
7.1,5003.06
6.7,5003.11
5.7,5003.16
7.0,5003.21
8.2,5003.26
9.5,5003.31
10.2,5003.36
12.1,5003.41
10.9,5003.46
10.6,5003.51
11.3,5003.56
10.9,5003.61
10.3,5003.66
11.7,5003.71
11.7,5003.76
11.3,5003.81
12.2,5003.86
11.3,5003.91
9.9,5003.96
9.3,5004.01
8.3,5004.06
8.1,5004.11
8.8,5004.16
10.0,5004.21
10.6,5004.26
9.6,5004.31
9.7,5004.36
11.4,5004.41
14.1,5004.46
15.4,5004.51
19.7,5004.56
25.7,5004.61
31.5,5004.66
37.8,5004.71
47.5,5004.76
53.8,5004.81
60.5,5004.86
67.7,5004.91
75.5,5004.96
82.7,5005.01
87.7,5005.06
92.2,5005.11
96.5,5005.16
98.8,5005.21
99.6,5005.26
101.1,5005.31
102.6,5005.36
102.0,5005.41
102.6,5005.46
102.5,5005.51
103.7,5005.56
105.3,5005.61
105.8,5005.66
107.2,5005.71
107.6,5005.76
108.7,5005.81
112.0,5005.86
114.8,5005.91
116.3,5005.96
116.7,5006.01
116.6,5006.06
116.2,5006.11
116.3,5006.16
114.6,5006.21
110.8,5006.26
106.3,5006.31
102.4,5006.36
100.2,5006.41
97.5,5006.46
91.8,5006.51
86.3,5006.56
79.3,5006.61
72.2,5006.66
64.5,5006.71
58.2,5006.76
51.1,5006.81
44.3,5006.86
39.7,5006.91
34.6,5006.96
30.2,5007.01
26.4,5007.06
21.6,5007.11
18.3,5007.16
16.8,5007.21
16.0,5007.26
15.0,5007.31
14.4,5007.36
13.7,5007.41
14.1,5007.46
16.2,5007.51
16.6,5007.56
18.2,5007.61
18.3,5007.66
18.0,5007.71
18.2,5007.76
19.5,5007.81
19.7,5007.86
20.8,5007.91
24.8,5007.96
29.9,5008.01
35.0,5008.06
36.5,5008.11
36.8,5008.16
37.3,5008.21
37.8,5008.26
40.2,5008.31
42.2,5008.36
42.5,5008.41
43.9,5008.46
44.1,5008.51
43.5,5008.56
40.8,5008.61
36.8,5008.66
33.5,5008.71
33.8,5008.76
35.3,5008.81
37.0,5008.86
40.1,5008.91
40.0,5008.96
39.8,5009.01
41.1,5009.06
40.1,5009.11
39.1,5009.16
37.9,5009.21
38.4,5009.26
39.7,5009.31
39.2,5009.36
39.2,5009.41
37.5,5009.46
36.4,5009.51
33.3,5009.56
32.4,5009.61
31.9,5009.66
30.8,5009.71
29.8,5009.76
30.1,5009.81
31.5,5009.86
30.6,5009.91
29.4,5009.96
30.8,5010.01
31.3,5010.06
33.4,5010.11
33.9,5010.16
33.2,5010.21
33.1,5010.26
32.1,5010.31
32.8,5010.36
33.2,5010.41
34.9,5010.46
36.4,5010.51
37.1,5010.56
36.7,5010.61
35.0,5010.66
32.7,5010.71
29.1,5010.76
27.7,5010.81
29.1,5010.86
28.7,5010.91
29.1,5010.96
28.4,5011.01
28.0,5011.06
25.1,5011.11
22.9,5011.16
21.4,5011.21
21.7,5011.26
21.5,5011.31
22.3,5011.36
21.8,5011.41
21.8,5011.46
21.4,5011.51
21.4,5011.56
21.2,5011.61
20.6,5011.66
20.4,5011.71
21.3,5011.76
21.2,5011.81
21.3,5011.86
20.3,5011.91
19.3,5011.96
18.6,5012.01
18.6,5012.06
18.8,5012.11
18.0,5012.16
17.4,5012.21
16.8,5012.26
15.8,5012.31
14.3,5012.36
13.1,5012.41
12.6,5012.46
11.5,5012.51
11.3,5012.56
11.8,5012.61
9.4,5012.66
8.4,5012.71
7.5,5012.76
7.4,5012.81
7.6,5012.86
6.3,5012.91
7.9,5012.96
8.0,5013.01
8.8,5013.06
8.7,5013.11
9.4,5013.16
9.1,5013.21
9.6,5013.26
11.1,5013.31
11.9,5013.36
12.9,5013.41
12.2,5013.46
11.2,5013.51
12.1,5013.56
11.1,5013.61
12.4,5013.66
11.3,5013.71
11.1,5013.76
11.0,5013.81
10.7,5013.86
9.8,5013.91
8.9,5013.96
9.1,5014.01
9.0,5014.06
9.4,5014.11
9.7,5014.16
10.8,5014.21
11.4,5014.26
11.1,5014.31
11.8,5014.36
11.1,5014.41
12.7,5014.46
14.0,5014.51
15.5,5014.56
16.4,5014.61
16.0,5014.66
15.8,5014.71
16.2,5014.76
16.7,5014.81
15.9,5014.86
14.6,5014.91
13.4,5014.96
12.9,5015.01
12.9,5015.06
11.1,5015.11
10.8,5015.16
9.2,5015.21
9.0,5015.26
8.7,5015.31
7.9,5015.36
7.5,5015.41
7.7,5015.46
7.1,5015.51
